date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:04	4000328/4000328	---M--	200	added ('OK')	font/woff	etag:W/%223d0a48-17955ba7b96%22	https://zepeto.me/font/NotoSansKR-Black.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansKR-Black.woff	(from https://zepeto.me/css/zepetome.css)
22:07:04	2656/2656	---M--	200	added ('OK')	font/ttf	etag:W/%22a60-17955b7d1a4%22	https://zepeto.me/font/notosanskr_black.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanskr_black.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:05	5479928/5479928	---M--	200	added ('OK')	font/woff2	etag:W/%22539df8-17955ba84b6%22	https://zepeto.me/font/NotoSansSC-Thin.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Thin.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:05	27054/27054	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269ae-17955b4f218%22	https://zepeto.me/font/notosanssc_light.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_light.eot	(from https://zepeto.me/css/zepetome.css)
22:07:05	6524824/6524824	---M--	200	added ('OK')	font/woff	etag:W/%22638f98-17955ba83e1%22	https://zepeto.me/font/NotoSansSC-Thin.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Thin.woff	(from https://zepeto.me/css/zepetome.css)
22:07:05	7815960/7815960	---MCZ	200	added ('OK')	font/otf	etag:W/%22774318-17955b7d13d%22	https://zepeto.me/font/NotoSansSC-Thin.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Thin.otf	(from https://zepeto.me/css/zepetome.css)
22:07:05	27054/27054	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2269ae-17955ba84bc%22	https://zepeto.me/font/notosanssc_light.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_lightd41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:06	6135872/6135872	---M--	200	added ('OK')	font/woff2	etag:W/%225da040-17955ba7fef%22	https://zepeto.me/font/NotoSansSC-Light.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Light.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:06	8434156/8434156	---MCZ	200	added ('OK')	font/otf	etag:W/%2280b1ec-17955b7cd85%22	https://zepeto.me/font/NotoSansSC-Light.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Light.otf	(from https://zepeto.me/css/zepetome.css)
22:07:06	7165572/7165572	---M--	200	added ('OK')	font/woff	etag:W/%226d5684-17955b4ed28%22	https://zepeto.me/font/NotoSansSC-Light.woff	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Light.woff	(from https://zepeto.me/css/zepetome.css)
22:07:06	3804/3804	---M--	200	added ('OK')	font/ttf	etag:W/%22edc-17955b7d1a9%22	https://zepeto.me/font/notosanssc_light.ttf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_light.ttf	(from https://zepeto.me/css/zepetome.css)
22:07:06	27398/27398	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226b06-17955b4f219%22	https://zepeto.me/font/notosanssc_regular.eot	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_regular.eot	(from https://zepeto.me/css/zepetome.css)
22:07:07	27398/27398	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226b06-17955ba84bd%22	https://zepeto.me/font/notosanssc_regular.eot?	C:/My%20Web%20Sites/zepeto/zepeto.me/font/notosanssc_regulard41d.eot	(from https://zepeto.me/css/zepetome.css)
22:07:07	6336428/6336428	---M--	200	added ('OK')	font/woff2	etag:W/%2260afac-17955b7d0cf%22	https://zepeto.me/font/NotoSansSC-Regular.woff2	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Regular.woff2	(from https://zepeto.me/css/zepetome.css)
22:07:07	8481960/8481960	---MCZ	200	added ('OK')	font/otf	etag:W/%22816ca8-17955b4f0bf%22	https://zepeto.me/font/NotoSansSC-Regular.otf	C:/My%20Web%20Sites/zepeto/zepeto.me/font/NotoSansSC-Regular.otf	(from https://zepeto.me/css/zepetome.css)
